id,nieuwe_image_link,productnaam,old_image_link
58412152226117,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
58412152258885,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
58412152291653,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
58412152324421,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
58412152357189,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_SeaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_SeaBlue.jpg?v=1782748333
58412152389957,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152422725,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152455493,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152488261,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152521029,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152553797,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324
58412152586565,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152619333,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152652101,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152684869,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152717637,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152750405,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948
58412152783173,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Red.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Red.jpg?v=1782748330
58412152815941,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Red.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Red.jpg?v=1782748330
58412152848709,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Red.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Red.jpg?v=1782748330
